('1', 'Bag, Barracks Laundry', 'available'),
('2', 'Bag, Barracks Laundry', 'not available'),
('3', 'Bag, Barracks Laundry', 'available'),
('4', 'Bag, Barracks Laundry', 'not available'),
('5', 'Bag, Barracks Laundry', 'available'),
('6', 'Bag, Barracks Laundry', 'not available'),
('7', 'Bag, Barracks Laundry', 'available'),
('8', 'Bag, Barracks Laundry', 'not available'),
('9', 'Bag, Barracks Laundry', 'available'),
('10', 'Bag, Barracks Laundry', 'not available'),
('11', 'Bag, Barracks Laundry', 'available'),
('12', 'Bag, Barracks Laundry', 'not available'),
('13', 'Bag, Barracks Laundry', 'available'),
('14', 'Bag, Barracks Laundry', 'not available'),
('15', 'Bag, Barracks Laundry', 'available'),
('16', 'Bag, Barracks Laundry', 'not available'),
('17', 'Bag, Barracks Laundry', 'available'),
('18', 'Bag, Barracks Laundry', 'not available'),
('19', 'Bag, Barracks Laundry', 'available'),
('20', 'Bag, Barracks Laundry', 'not available'),
('21', 'Bag, Barracks Laundry', 'available'),
('22', 'Bag, Barracks Laundry', 'not available'),
('23', 'Bag, Barracks Laundry', 'available'),
('24', 'Bag, Barracks Laundry', 'not available'),
('25', 'Bag, Barracks Laundry', 'available'),
('26', 'Bag, Barracks Laundry', 'not available'),
('27', 'Bag, Barracks Laundry', 'available'),
('28', 'Bag, Barracks Laundry', 'not available'),
('29', 'Bag, Barracks Laundry', 'available'),
('30', 'Bag, Barracks Laundry', 'not available'),
('31', 'Bag, Barracks Laundry', 'available'),
('32', 'Bag, Barracks Laundry', 'not available'),
('33', 'Bag, Barracks Laundry', 'available'),
('34', 'Bag, Barracks Laundry', 'not available'),
('35', 'Bag, Barracks Laundry', 'available'),
('36', 'Bag, Barracks Laundry', 'not available'),
('37', 'Bag, Barracks Laundry', 'available'),
('38', 'Bag, Barracks Laundry', 'not available'),
('39', 'Bag, Barracks Laundry', 'available'),
('40', 'Bag, Barracks Laundry', 'not available'),
('41', 'Bag, Barracks Laundry', 'available'),
('42', 'Bag, Barracks Laundry', 'not available'),
('43', 'Bag, Barracks Laundry', 'available'),
('44', 'Bag, Barracks Laundry', 'not available'),
('45', 'Bag, Barracks Laundry', 'available'),
('46', 'Bag, Barracks Laundry', 'not available'),
('47', 'Bag, Barracks Laundry', 'available'),
('48', 'Bag, Barracks Laundry', 'not available'),
('49', 'Bag, Barracks Laundry', 'available'),
('50', 'Bag, Barracks Laundry', 'not available'),
('51', 'Bag, Barracks Laundry', 'available'),
('52', 'Bag, Barracks Laundry', 'not available'),
('53', 'Bag, Barracks Laundry', 'available'),
('54', 'Bag, Barracks Laundry', 'not available'),
('55', 'Bag, Barracks Laundry', 'available'),
('56', 'Bag, Barracks Laundry', 'not available'),
('57', 'Bag, Barracks Laundry', 'available'),
('58', 'Bag, Barracks Laundry', 'not available'),
('59', 'Bag, Barracks Laundry', 'available'),
('60', 'Bag, Barracks Laundry', 'not available'),
('61', 'Bag, Barracks Laundry', 'available'),
('62', 'Bag, Barracks Laundry', 'not available'),
('63', 'Bag, Barracks Laundry', 'available'),
('64', 'Bag, Barracks Laundry', 'not available'),
('65', 'Bag, Barracks Laundry', 'available'),
('66', 'Bag, Barracks Laundry', 'not available'),
('67', 'Bag, Barracks Laundry', 'available'),
('68', 'Bag, Barracks Laundry', 'not available'),
('69', 'Bag, Barracks Laundry', 'available'),
('70', 'Bag, Barracks Laundry', 'not available'),
('71', 'Bag, Barracks Laundry', 'available'),
('72', 'Bag, Barracks Laundry', 'not available'),
('73', 'Bag, Barracks Laundry', 'available'),
('74', 'Bag, Barracks Laundry', 'not available'),
('75', 'Bag, Barracks Laundry', 'available'),
('76', 'Bag, Barracks Laundry', 'not available'),
('77', 'Bag, Barracks Laundry', 'available'),
('78', 'Bag, Barracks Laundry', 'not available'),
('79', 'Bag, Barracks Laundry', 'available'),
('80', 'Bag, Barracks Laundry', 'not available'),
('81', 'Bag, Barracks Laundry', 'available'),
('82', 'Bag, Barracks Laundry', 'not available'),
